objectid,title,creator,date,color,description,subject,extent,size,medium,frame status,mat status,source,identifier,format,rights,rightsstatement,available,display_template,object_location,filename,image_small,image_thumb,image_alt_text,dominant color,Copies,Location,Donor if know,type,display_template
artloanprogram_00001,Along the Stream,"Bestine, J.",,no,Black ink drawing of a few buildings on a hill next to a placid body of water surrounded by trees.,nature ; water ; landscape ; romanticist,8 7/8 in. x 12 in,small,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 1",artloan_b1_0001,image/jpg,,,yes,image,/objects/artloan_b1_0001.jpg,artloan_b1_0001.jpg,/objects/small/artloan_b1_0001_sm.jpg,/objects/thumbs/artloan_b1_0001_th.jpg,,black,,,,Image;StillImage,image
artloanprogram_00002,Two Women,M,,no,two women harvesting,figures ; women; modernist ; labor,12 5/8 in. x 9 3/8 in,small,print,Not Framed,Not Matted,"Art Loan, box 1, item 2",artloan_b1_0002,image/jpg,,,yes,image,/objects/artloan_b1_0002.jpg,artloan_b1_0002.jpg,/objects/small/artloan_b1_0002_sm.jpg,/objects/thumbs/artloan_b1_0002_th.jpg,,black,,,,Image;StillImage,image
artloanprogram_00003,The Pilot,"Wilkinson, Norman",,no,fishing boat on sea with figures in small dinghy,boats ; water ; figures ; realist,11 2/8 in. x 16 1/2 in,medium,dry point,Not Framed,Not Matted,"Art Loan, box 1, item 3",artloan_b1_0003,image/jpg,,,yes,image,/objects/artloan_b1_0003.jpg,artloan_b1_0003.jpg,/objects/small/artloan_b1_0003_sm.jpg,/objects/thumbs/artloan_b1_0003_th.jpg,,black,,,,Image;StillImage,image
artloanprogram_00004,Faces,Justin,,yes,modernist portrayal of couple with flower,figures ; flowers ; modernist,12 in x 16 in,small,print,Not Framed,Matted,"Art Loan, box 1, item 4",artloan_b1_0004,image/jpg,,,yes,image,/objects/artloan_b1_0004.jpg,artloan_b1_0004.jpg,/objects/small/artloan_b1_0004_sm.jpg,/objects/thumbs/artloan_b1_0004_th.jpg,,blue ; yellow,,,,Image;StillImage,image
artloanprogram_00005,Rough Going,"Peck, Laurence R.",,no,man on horse-drawn cart in field,animals ; labor ; figures ; nature,14 5/8 in x 17 in,medium,etching,Not Framed,Matted,"Art Loan, box 1, item 5",artloan_b1_0005,image/jpg,,,yes,image,/objects/artloan_b1_0005.jpg,artloan_b1_0005.jpg,/objects/small/artloan_b1_0005_sm.jpg,/objects/thumbs/artloan_b1_0005_th.jpg,,black,,,,Image;StillImage,image
artloanprogram_00006,Let's wait a minute,"Ramsey, Doopi",,yes,abstract and colorful shapes,abtract ; modernist,13 in x 13 in,small,print,Not Framed,Not Matted,"Art Loan, box 1, item 6",artloan_b1_0006,image/jpg,,,yes,image,/objects/artloan_b1_0006.jpg,artloan_b1_0006.jpg,/objects/small/artloan_b1_0006_sm.jpg,/objects/thumbs/artloan_b1_0006_th.jpg,,blue ; yellow,,,,Image;StillImage,image
artloanprogram_00007,Three Men,"La, F.",,no,modernist image of three men playing cards,leisure ; modernist ; figures,11 1/2 x 14 in,small,drawing,Not Framed,Matted,"Art Loan, box 1, item 7",artloan_b1_0007,image/jpg,,,yes,image,/objects/artloan_b1_0007.jpg,artloan_b1_0007.jpg,/objects/small/artloan_b1_0007_sm.jpg,/objects/thumbs/artloan_b1_0007_th.jpg,,gray,,,,Image;StillImage,image
artloanprogram_00008,Canal,"Pfaubal, Milo",,no,Venetian canal with gondola between buildings,boats ; water ; romanticist ; cityscape,16 7/8 in x 12 6/8 in,medium,drawing,Not Framed,Matted,"Art Loan, box 1, item 8",artloan_b1_0008,image/jpg,,,yes,image,/objects/artloan_b1_0008.jpg,artloan_b1_0008.jpg,/objects/small/artloan_b1_0008_sm.jpg,/objects/thumbs/artloan_b1_0008_th.jpg,,black,,,,Image;StillImage,image
artloanprogram_00009,Bridge,"Boizant, L.",,yes,old village with canal,nature ; water ; cityscape ; romanticist,10 in x 12in,small,watercolor,Not Framed,Not Matted,"Art Loan, box 1, item 9",artloan_b1_0009,image/jpg,,,yes,image,/objects/artloan_b1_0009.jpg,artloan_b1_0009.jpg,/objects/small/artloan_b1_0009_sm.jpg,/objects/thumbs/artloan_b1_0009_th.jpg,,brown,,,,Image;StillImage,image
artloanprogram_00010,Two Working Men,"Avent, Aurden",,no,figures in a coastal town,landscape ; labor ; figures ; realist,15 2/8 in x 17 7/8 in,medium,drawing,Not Framed,Matted,"Art Loan, box 1, item 10",artloan_b1_0010,image/jpg,,,yes,image,/objects/artloan_b1_0010.jpg,artloan_b1_0010.jpg,/objects/small/artloan_b1_0010_sm.jpg,/objects/thumbs/artloan_b1_0010_th.jpg,,black,,,,Image;StillImage,image
